Wort;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
Amnestie;1;0;0;0;0;0;1;0;0;0
Amoklauf;0;1;1;0;0;1;0;0;0;0
Amortisation;0;0;0;0;0;0;0;0;0;1
Amphetamine;0;1;0;0;1;0;0;0;0;0
Amtsuntreue;0;1;0;0;1;0;0;0;0;0
Amüsement;1;0;0;0;0;0;1;0;0;0
Anakonda;0;1;0;0;1;1;0;0;0;0
Analphabet;0;1;0;0;1;0;0;0;0;0
Analytiker;1;0;0;1;0;0;0;0;0;1
Anarchie;0;1;1;0;0;1;0;0;0;0
Anarchismus;0;1;1;0;0;1;0;0;0;0
Anarchist;0;1;1;0;0;1;0;0;0;0
Anathema;0;1;1;0;1;1;0;1;0;0
Anbetung;1;0;0;1;0;1;1;0;0;1
Anchorage;1;0;0;0;0;0;0;1;0;0
Anerkennung;1;0;0;0;0;0;1;0;0;1
Anfang;0;0;0;1;0;0;0;0;0;0
Anfrage;1;0;0;1;0;0;0;0;0;0
Angebot;0;0;0;0;0;0;0;0;0;1
Angeklagte;0;1;1;0;0;1;0;0;0;0
Angeln;0;1;0;1;0;0;0;0;0;0
Angina;0;1;0;0;0;1;0;0;0;0
Angreifer;0;1;1;0;0;1;0;1;0;0
Angriff;0;1;1;0;0;1;0;0;0;0
Angst;0;1;1;1;0;1;0;1;1;0
Anhänger;0;0;0;0;0;0;0;0;0;1
Animus;0;1;1;0;0;0;0;0;0;0
Anklage;0;1;1;0;1;0;0;0;0;0
Ankläger;0;1;1;0;0;1;0;0;0;0
Ankunft;0;0;0;1;0;0;0;0;0;0
Ankündigung;0;0;0;1;0;0;0;0;0;0
Anleitung;0;0;0;1;0;0;0;0;0;1
Annäherung;0;0;0;1;0;0;0;0;0;0
Anomalie;0;1;0;0;0;1;0;0;1;0
Anrufe;0;1;0;1;0;0;0;0;0;1
Ansteckung;0;1;0;1;1;1;0;0;0;0
Antagonismus;0;1;1;0;0;0;0;0;0;0
Antichrist;0;1;1;0;1;1;0;0;0;0
Antipathie;0;1;1;0;1;0;0;0;0;0
Antiseptikum;1;0;0;0;0;0;0;0;0;1
Antithese;0;1;1;0;0;0;0;0;0;0
Antragsteller;0;0;1;1;1;0;0;0;0;0
Anwalt;0;1;1;0;1;1;0;0;0;0
Anweisung;1;0;0;0;0;0;0;0;0;1
Anzahl;1;0;0;0;0;0;0;0;0;1
Apache;0;1;0;0;0;1;0;0;0;0
Apathie;0;1;0;0;0;0;0;1;0;0
Apostel;1;0;0;0;0;0;0;0;0;1
Appendizitis;0;1;0;0;0;1;0;1;0;0
Arbeit;1;0;0;1;0;0;1;0;1;1
Architektur;0;0;0;0;0;0;0;0;0;1
Archäologie;1;0;0;1;0;0;0;0;0;0
Argumentation;0;0;1;0;0;0;0;0;0;0
Argumente;0;0;1;0;0;0;0;0;0;0
Armut;0;1;1;0;1;1;0;1;0;0
Arschloch;0;1;1;0;1;0;0;0;0;0
Arsen;0;1;0;0;1;1;0;1;0;0
Artillerie;0;1;0;0;0;1;0;0;0;0
Arzt;1;0;0;0;0;0;0;0;0;1
Asche;0;1;0;0;0;0;0;1;0;0
Asp;0;0;0;0;0;1;0;0;0;0
Aspiration;1;0;0;1;0;0;1;0;1;1
Astrologe;1;0;0;1;0;0;0;0;0;0
Astronom;1;0;0;1;0;0;0;0;0;0
Asyl;0;1;0;0;0;1;0;0;0;0
Asymmetrie;0;0;0;0;1;0;0;0;0;0
Atherosklerose;0;1;0;0;0;1;0;1;0;0
Atrophie;0;1;0;0;1;1;0;1;0;0
Attacke;0;1;1;0;0;1;0;0;0;0
Attentäter;0;1;1;0;0;1;0;1;0;0
Aufbewahrung;0;0;0;0;0;0;0;0;0;1
Auffassung;0;1;0;0;0;1;0;0;0;0
Aufgabe;0;1;1;0;0;1;0;1;1;0
Aufhebung;0;1;0;0;0;0;0;1;0;0
Aufklärung;1;0;0;0;0;0;1;0;0;1
Auflage;0;0;0;1;0;0;0;0;0;0
Auflösung;0;1;1;0;1;1;0;1;1;0
Aufnahme;0;0;0;0;0;0;0;0;0;1
Aufregung;1;1;1;1;0;0;1;1;1;0
Aufruf;0;0;0;1;0;0;0;0;0;1
Aufruhr;0;1;1;0;0;1;0;1;0;0
Aufschrei;0;1;1;0;0;1;0;0;1;0
Aufschub;1;0;0;0;0;0;1;0;0;1
Aufseher;0;1;1;0;0;1;0;0;0;1
Aufspaltung;0;1;0;0;0;0;0;1;0;0
Aufstand;0;1;1;1;0;1;0;0;0;0
Aufstoßen;0;0;0;0;1;0;0;0;0;0
Auftrag;1;0;0;1;0;0;0;0;0;1
Augenbinde;0;0;0;1;0;1;0;0;1;0
Augenzeuge;0;0;0;0;0;0;0;0;0;1
Ausbruch;1;1;1;0;0;1;1;1;1;0
Ausdauer;1;0;0;0;0;0;0;0;0;1
Auseinandersetzung;0;1;1;0;0;0;0;0;0;0
Ausfall;0;0;0;0;0;0;0;0;1;0
Ausfallschritt;0;0;0;0;0;0;0;0;1;0
Ausflug;0;0;0;0;0;0;0;0;1;0
Ausführung;0;1;1;0;0;1;0;1;0;1
Ausgezeichnet;1;0;0;0;0;0;1;0;0;1
Ausgrabung;0;1;0;1;0;0;0;0;1;0
Ausländer;0;1;0;0;1;1;0;0;0;0
Auslöschung;0;1;0;0;0;1;0;1;0;0
Auslösung;0;1;1;0;0;0;0;1;0;0
Ausnahmeregelung;0;1;1;0;1;1;0;1;0;0
Ausrottung;0;1;1;0;1;1;0;0;0;0
Ausscheidung;0;0;0;0;1;0;0;0;0;0
Ausschlag;0;1;0;0;1;0;0;0;0;0
Ausschluss;0;1;0;0;1;1;0;1;0;0
Ausschuss;0;0;0;0;0;0;0;0;0;1
Ausschweifung;0;1;0;0;1;1;0;0;0;0
Ausstattung;1;0;0;0;0;0;0;0;0;1
Austausch;1;0;0;0;0;0;0;0;0;1
Ausweichen;0;1;0;0;0;1;0;1;0;0
Auszeichnung;1;0;0;1;0;0;1;0;1;1
Authentifizierung;0;0;0;0;0;0;0;0;0;1
Authentizität;1;0;0;0;0;0;0;0;0;1
Autopsie;0;1;0;0;1;1;0;1;0;0
Autor;1;0;0;0;0;0;0;0;0;1
Außenseiter;0;0;0;0;0;1;0;0;0;0
Axiom;0;0;0;0;0;0;0;0;0;1
Baby;1;0;0;0;0;0;1;0;0;0
Babysitter;0;0;0;0;0;0;0;0;0;1
Bahre;0;0;0;0;0;1;0;1;0;0
Bajonett;0;1;1;0;0;1;0;0;0;0
Bakterien;0;1;0;0;1;1;0;1;0;0
Balg;0;0;1;0;0;0;0;0;0;0
Ballen;0;1;0;0;0;1;0;0;0;0
Balsam;1;1;0;1;0;0;1;0;0;0
Balz;1;0;0;1;0;0;1;0;0;1
Band;1;0;1;1;0;0;1;0;0;0
Banger;0;1;1;1;0;1;0;0;1;0
Bank;0;0;0;0;0;0;0;0;0;1
Banker;0;0;0;0;0;0;0;0;0;1
Bankett;1;0;0;1;0;0;1;0;0;0
Banshee;0;1;1;0;1;1;0;1;0;0
Barbar;0;1;0;0;0;1;0;0;0;0
Barmann;0;0;0;0;0;0;0;0;0;1
Barmherzigkeit;1;0;0;0;0;1;0;0;0;0
Barriere;0;1;1;0;0;0;0;0;0;0
Barrikade;0;1;0;0;0;1;0;0;0;0
Base;0;0;0;0;0;0;0;0;0;1
Basketball;1;0;0;1;0;0;1;0;0;0
Bastard;0;1;0;0;1;0;0;1;0;0
Bastion;1;0;1;0;0;0;0;0;0;0
Bataillon;0;0;1;0;0;0;0;0;0;0
Batterie;0;1;1;0;0;0;0;0;0;0
Bauch;0;0;0;0;1;0;0;0;0;0
Bauernhof;0;0;0;1;0;0;0;0;0;0
Baum;1;0;1;1;1;0;1;0;1;1
Baustelle;0;1;1;1;0;0;0;0;1;0
Beachtung;1;0;0;0;0;0;0;0;0;1
Beben;0;0;0;0;0;1;0;0;0;0
Becher;1;1;1;0;0;1;0;1;0;0
Bedauern;0;1;0;0;0;0;0;1;0;0
Bedeutung;1;0;0;1;0;0;0;0;0;0
Bedrohung;0;1;1;0;0;1;0;0;0;0
Beendigung;0;1;0;0;0;0;0;1;0;0
Beerdigung;0;1;1;0;0;1;0;1;0;0
Befall;0;1;0;0;1;1;0;0;0;0
Befreiung;1;0;0;1;0;0;1;0;1;0
Begeisterung;1;0;0;1;0;0;1;0;1;0
Beginn;0;0;0;1;0;0;0;0;0;0
Begleiter;1;0;0;0;0;0;1;0;0;1
Begleitung;1;0;0;1;0;0;1;0;0;1
Begräbnis;0;1;0;0;0;0;0;1;0;0
Begründer;1;0;0;0;0;1;0;0;0;0
Behauptung;0;1;1;0;0;0;0;0;0;0
Behinderung;0;1;0;0;0;0;0;1;0;0
Behörde;1;0;0;0;0;0;0;0;0;1
Beichtstuhl;0;0;0;0;0;1;0;0;0;1
Beifall;1;0;0;0;0;0;1;0;1;1
Beileid;1;0;0;0;0;0;0;1;0;0
Bekanntheit;1;1;1;0;1;1;0;0;0;0
Bekenntnis;0;1;0;1;0;1;0;1;1;0
Beklagte;0;0;1;0;0;1;0;1;0;0
Belastung;0;1;1;0;0;1;0;1;0;0
Beleidigung;0;1;1;0;1;1;0;1;1;0
Belohnung;1;0;0;1;0;0;1;0;1;1
Belästigung;0;1;1;0;1;1;0;1;0;0
Belüftung;0;0;1;0;0;0;0;0;0;0
Benachrichtigung;0;0;0;1;0;0;0;0;0;0
Berater;1;1;1;0;0;1;0;0;0;1
Beratung;1;0;0;0;0;0;0;0;0;1
Berechnung;0;0;0;1;0;0;0;0;0;0
Bereitschaft;1;0;0;1;0;0;1;0;0;1
Bereitstellung;1;0;0;1;0;0;1;0;0;1
Berg;0;0;0;1;0;0;0;0;0;0
Berserker;0;1;1;0;0;0;0;0;0;0
Beruhigung;1;0;0;0;0;0;0;0;0;1
Berühmtheit;1;1;1;1;1;0;1;0;1;1
Bescheinigung;0;0;0;0;0;0;0;0;0;1
Beschlagnahme;0;0;0;0;0;1;0;0;0;0
Beschränkung;0;1;1;0;0;1;0;1;0;0
Beschwerde;0;1;1;0;1;0;0;1;0;0
Beschädigung;0;1;1;0;1;0;0;1;0;0
Beseitigung;0;1;1;0;1;1;0;1;0;0
Besitz;0;1;1;0;1;1;0;0;0;0
Bestatter;0;0;0;0;0;0;0;1;0;0
Bestechung;0;1;0;0;1;0;0;0;0;0
Bestial;0;1;0;0;1;1;0;0;0;0
Bestrafung;0;1;1;0;1;1;0;0;0;0
Bestätigt;1;0;0;0;0;0;0;0;0;1
Bestätigung;0;0;0;0;0;0;0;0;0;1
Bestürzung;0;1;1;1;0;1;0;1;1;0
Besucher;1;0;0;1;0;0;1;0;0;0
Beteiligung;0;0;1;0;0;0;0;0;0;0
Betrieb;0;0;0;0;0;1;0;0;0;1
Betrug;0;1;1;0;1;1;0;1;1;0
Bettler;0;1;0;0;0;0;0;1;0;0
Beurteilung;0;0;0;0;0;0;0;0;1;0
Beute;0;1;0;0;0;1;0;0;0;0
Beutezug;0;1;1;0;0;0;0;0;0;0
Bewegung;0;0;0;1;0;0;0;0;0;0
Beweis;0;0;0;0;0;0;0;0;0;1
Bewertung;0;1;1;0;0;1;0;1;1;1
Bewohner;1;0;0;0;0;0;0;0;0;1
Bewunderung;1;0;0;0;0;0;1;0;0;1
Bezeichnung;0;0;0;0;0;0;0;0;0;1
Bezirk;0;0;0;0;0;0;0;0;0;1
Biene;0;0;1;0;0;1;0;0;0;0
Bier;1;0;0;0;0;0;1;0;0;0
Bildnis;0;0;1;0;0;0;0;0;0;0
Bildung;0;0;0;1;0;0;0;0;0;0
Billigung;1;0;0;0;0;0;0;0;0;1
Biopsie;0;1;0;0;0;1;0;0;0;0
Birke;0;1;1;0;1;1;0;0;0;0
Bitterkeit;0;1;1;0;1;0;0;1;0;0
Blase;0;1;0;0;1;0;0;0;0;0
Blasphemie;0;1;1;0;0;0;0;0;0;0
Blattlaus;0;1;0;0;1;0;0;0;0;0
Blau;0;0;0;0;0;0;0;1;0;0
Blendung;0;1;1;0;0;1;0;0;0;0
Blindheit;0;1;0;0;0;0;0;1;0;0
Blitz;0;0;1;0;0;1;0;0;1;0
Blockade;0;1;1;0;0;1;0;1;0;0
Blues;0;1;0;0;0;1;0;1;0;0
Blut;0;1;1;0;1;1;0;1;0;0
Blutegel;0;1;0;0;1;1;0;0;0;0
Blutung;0;1;0;0;1;1;0;1;0;0
Blutvergießen;0;1;1;0;1;1;0;1;1;0
Blähung;0;1;0;0;1;0;0;0;0;0
Blütezeit;1;0;0;1;0;0;1;0;0;1
Bock;1;1;0;0;0;1;0;0;1;0
Boden;0;1;0;0;1;0;0;0;0;1
Bogen;0;1;1;0;1;0;0;1;0;0
Bombardierung;0;1;1;0;0;1;0;0;0;0
Bombe;0;1;1;0;0;1;0;1;1;0
Bomber;0;0;0;0;0;1;0;1;0;0
Bonus;1;0;0;1;0;0;1;0;1;0
Boomerang;0;0;0;1;0;0;0;0;0;1
Bordell;0;1;0;0;1;0;0;0;0;0
Borke;0;1;1;0;0;0;0;0;0;0
Bosheit;0;1;1;0;1;1;0;0;0;0
Bote;0;0;0;0;0;0;0;0;0;1
Botschafter;1;0;0;0;0;0;0;0;0;1
Boxen;0;0;1;0;0;0;0;0;0;0
Brandstiftung;0;1;1;0;0;1;0;0;0;0
Brandsätze;0;1;1;0;0;1;0;0;1;0
Braut;1;0;0;1;0;0;1;0;0;1
Brautjungfer;1;0;0;0;0;0;1;0;0;1
Breitseite;0;1;0;1;0;0;0;0;0;0
Brief;0;0;0;1;0;0;0;0;0;0
Brigade;0;1;0;0;0;1;0;0;0;0
Bruch;0;1;0;0;0;1;0;1;1;0
Bruder;1;0;0;0;0;0;0;0;0;1
Bruderschaft;1;0;0;0;0;0;0;0;0;1
Brutalität;0;1;1;0;0;1;0;0;0;0
Bräutigam;1;0;0;1;0;0;1;0;0;1
Buchhalter;0;0;0;0;0;0;0;0;0;1
Bucht;1;0;0;1;1;1;1;0;0;0
Budget;0;0;0;0;0;0;0;0;0;1
Buffet;0;1;1;0;0;0;0;0;0;0
Bully;0;1;1;0;0;1;0;0;0;0
Bund;1;0;0;0;0;0;0;0;0;1
Bunker;0;0;0;0;0;1;0;0;0;0
Burke;0;1;1;0;1;1;0;1;0;0
Burleske;0;0;0;0;0;0;0;0;1;0
Bus;1;0;0;0;0;0;1;0;0;0
Buße;0;0;0;0;0;1;0;1;0;0
Bär;0;0;1;0;0;1;0;0;0;0
Bärendienst;0;1;1;0;1;0;0;1;0;0
Böe;0;1;0;0;0;1;0;1;0;0
Bürokrat;0;1;0;0;1;0;0;0;0;0
Bürokratie;0;1;0;0;0;0;0;0;0;1
Center;1;0;0;0;0;0;0;0;0;1
Champion;1;0;0;1;0;0;1;0;0;1
Chance;0;0;0;0;0;0;0;0;1;0
Chaos;0;1;1;0;0;1;0;1;0;0
Chemiker;1;0;0;0;0;0;0;0;0;1
Chimäre;0;0;0;0;0;1;0;0;1;0
Chirurgie;0;0;0;0;0;1;0;1;0;0
Choke;0;1;1;0;0;0;0;1;0;0
Cholera;0;1;0;0;1;1;0;1;0;0
Chor;1;0;0;0;0;0;1;0;0;1
Chronik;1;0;0;0;0;0;0;0;0;1
Clan;0;0;0;0;0;0;0;0;0;1
Cliff;0;0;0;0;0;1;0;0;0;0
Clown;1;0;0;1;0;0;1;0;1;0
Commonwealth;1;0;0;0;0;0;0;0;0;1
Couch;0;0;0;0;0;0;0;1;0;0
Countdown;0;0;0;1;0;0;0;0;0;0
Coup;0;0;1;0;0;0;0;0;1;0
Crescendo;1;0;0;1;0;0;1;0;1;1
Crew;0;0;0;0;0;0;0;0;0;1
Cur;0;1;1;0;1;1;0;0;0;0
Cutter;0;1;0;0;0;1;0;0;0;0
Dachs;0;1;1;0;0;0;0;0;0;0
Dame;1;0;1;0;1;0;0;0;0;1
Damm;0;0;0;0;0;0;0;0;0;1
Dandy;0;1;0;0;1;0;0;0;0;0
Dankbarkeit;1;0;0;0;0;0;1;0;0;0
Darlehensgeber;0;0;0;0;0;0;0;0;0;1
Darstellen;0;0;0;1;0;0;0;0;0;0
Deal;1;0;0;1;0;0;1;0;1;1
Debakel;0;1;0;0;0;1;0;1;0;0
Decke;0;0;0;0;0;0;0;0;0;1
Deckel;0;0;0;1;0;0;0;0;0;1
Defekt;0;1;1;0;0;0;0;0;0;0
Deflation;0;1;0;0;0;1;0;0;0;0
Deformität;0;1;0;0;1;1;0;1;0;0
Deich;0;0;0;0;0;1;0;0;0;0
Delikt;0;1;1;0;1;1;0;1;0;0
Delinquent;0;1;1;0;1;0;0;0;0;0
Delirium;0;1;0;0;1;0;0;1;0;0
Delphin;1;0;0;0;0;0;1;0;1;1
Demenz;0;1;0;0;0;1;0;1;0;0
Demut;1;0;0;0;0;0;0;0;0;1
Demütigung;0;1;0;1;1;1;0;1;0;0
Denkmäler;0;0;0;0;0;0;0;1;0;0
Denunziation;0;1;1;0;1;1;0;0;0;0
Depot;0;0;0;0;0;0;0;0;0;1
Depression;0;1;0;0;0;0;0;1;0;0
Dermatologe;0;0;0;0;0;0;0;0;0;1
Desinformation;0;1;1;0;0;1;0;0;0;0
Despotismus;0;1;1;0;1;1;0;1;0;0
Detonation;0;0;1;0;0;0;0;0;0;0
Diagnose;0;1;0;1;0;1;0;0;0;1
Diagramm;0;0;0;0;0;0;0;0;0;1
Diakon;0;0;0;0;0;0;0;0;0;1
Diamant;1;0;0;0;0;0;1;0;0;0
Dichtung;1;0;0;0;0;0;0;0;0;1
Dichtungen;0;0;0;0;0;0;0;0;0;1
Dieb;0;1;1;0;1;1;0;1;1;0
Diebstahl;0;1;1;0;1;1;0;1;0;0
Dienen;0;1;0;0;0;0;0;0;0;1
Dienstalter;1;0;0;0;0;0;0;0;0;1
Diffamierung;0;1;0;0;1;1;0;0;0;0
Differential;0;0;0;0;0;0;0;0;0;1
Diktator;0;1;0;0;0;1;0;0;0;0
Diktatur;0;1;1;1;1;1;0;1;0;0
Diktum;0;1;0;0;1;1;0;0;0;1
Dinosaurier;0;0;0;0;0;1;0;0;0;0
Diplomatie;1;0;0;1;0;0;0;0;0;1
Direktor;1;0;0;0;0;0;0;0;0;1
Diskontinuität;0;1;0;0;1;1;0;1;0;0
Diskretion;1;0;0;1;0;0;0;0;0;1
Diskriminierung;0;1;1;0;1;1;0;1;0;0
Dissident;0;1;1;0;0;1;0;0;0;0
Dissonanz;0;1;1;0;0;0;0;0;0;0
Disziplin;0;1;0;0;0;1;0;0;0;0
Divination;0;0;0;1;0;0;0;0;0;0
Diwan;0;1;0;0;0;1;0;1;0;1
Diät;1;0;0;1;0;0;0;0;0;0
Dogma;0;0;0;0;0;0;0;0;0;1
Dolch;0;1;0;0;0;1;0;0;0;0
Dole;0;1;0;0;0;0;0;1;0;0
Dom;1;0;0;0;0;0;1;0;0;1
Dominant;0;1;0;0;0;1;0;0;0;0
Don;1;0;0;0;0;0;0;0;0;1
Dorfbewohner;1;0;0;0;0;0;0;0;0;1
Drachen;0;0;0;0;0;1;0;0;0;0
Drangsal;0;1;0;0;0;1;0;1;0;0
Dreck;0;1;0;0;1;0;0;0;0;0
Dringlichkeit;0;0;0;1;0;1;0;0;1;0
Dschungel;0;0;0;0;0;1;0;0;0;0
Duell;0;0;1;1;0;1;0;0;0;0
Dumps;0;1;1;0;0;0;0;1;0;0
Dung;1;0;0;1;1;0;1;0;0;0
Dunkelheit;0;1;1;0;0;1;0;1;0;0
Dunst;0;1;0;0;0;1;0;0;0;0
Duplizität;0;1;1;0;0;0;0;0;0;0
Durchfall;0;0;0;0;1;0;0;0;0;0
Durst;0;0;0;1;0;0;0;1;1;0
Dämmerung;1;0;0;1;0;0;1;0;1;1
Dämon;0;1;1;0;1;1;0;1;1;0
Dämpfung;0;1;0;0;0;0;0;1;0;0
Düsternis;0;1;0;0;0;0;0;1;0;0
Edelmann;1;0;0;0;0;0;0;0;0;1
Edikt;0;1;0;0;0;1;0;0;0;0
Effet;0;0;0;0;0;1;0;0;1;0
Ehe;1;0;0;1;0;0;1;0;0;1
Ehebruch;0;1;0;0;1;0;0;1;0;0
Ehepartner;1;0;0;0;0;0;1;0;0;1
Ehre;1;0;0;0;0;0;0;0;0;1
Ehrerbietung;1;0;0;0;0;0;0;0;0;1
Ehrfurcht;1;0;0;0;0;0;1;0;0;1
Ehrlichkeit;1;0;0;0;0;0;0;0;0;1
Eid;1;0;0;0;0;0;0;0;0;1
Eifer;1;0;0;1;0;0;1;0;1;1
Eifersucht;0;1;1;0;1;1;0;1;0;0
Eile;0;0;0;1;0;0;0;0;0;0
Einbrecher;0;1;0;0;1;1;0;0;0;0
Eindringling;0;1;1;0;0;1;0;1;1;0
Einfall;0;1;0;0;0;1;0;0;0;0
Eingeweide;0;1;0;0;1;0;0;0;0;0
Eingriff;0;1;0;0;0;1;0;0;0;0
Einheit;1;0;0;0;0;0;0;0;0;1
Einkaufen;1;0;0;1;0;0;1;0;1;1
Einkerkerung;0;1;1;0;1;1;0;1;0;0
Einkommen;1;1;0;1;0;0;1;1;0;1
Einladung;1;0;0;1;0;0;0;0;0;0
Einlauf;0;0;0;0;1;0;0;0;0;0
Einlieferung;0;1;0;0;0;0;0;1;0;0
Einsamkeit;0;1;0;0;0;1;0;1;0;0
Einsatz;0;1;1;0;1;1;0;0;0;0
Einschüchterung;0;1;1;0;0;1;0;0;0;0
Einsiedler;0;0;0;0;0;0;0;1;0;1
Einsparungen;0;1;0;0;0;1;0;0;0;0
Einspruch;0;1;1;0;0;0;0;0;0;0
Eintracht;1;0;0;0;0;0;0;0;0;1
Einwand;0;1;1;0;0;0;0;0;0;0
Einweihung;1;0;0;1;0;0;1;0;0;1
Einzug;0;0;0;0;0;0;0;0;0;1
Einäscherung;0;0;0;0;0;0;0;1;0;0
Eisen;1;0;0;0;0;0;0;0;0;1
Eiter;0;1;0;0;1;0;0;0;0;0
Ejakulation;1;0;0;1;0;0;1;0;1;1
Ekstase;1;0;0;1;0;0;1;0;0;0
Eleganz;1;0;0;1;0;0;1;0;0;1
Elend;0;1;1;0;1;1;0;1;0;0
Elender;0;1;1;0;1;0;0;1;0;0
Elevation;1;0;0;1;0;1;1;0;0;1
Elfmeter;0;1;1;0;0;1;0;1;0;0
Elite;1;0;0;1;0;0;1;0;0;1
Ellbogen;0;0;1;0;0;0;0;0;0;0
Emanzipation;1;0;0;1;0;0;1;0;0;0
Embolie;0;1;0;0;0;1;0;1;0;0
Eminenz;1;0;0;0;0;0;0;0;0;1
Empfang;1;0;0;1;0;0;1;0;1;0
Empfehlungsschreiben;1;0;0;0;0;0;0;0;0;1
Empfänger;0;0;0;1;0;0;0;0;0;0
Empörung;0;1;1;0;1;0;0;0;0;0
Endokarditis;0;0;0;0;0;1;0;1;0;0
Engel;1;0;0;1;0;0;1;0;1;1
Enkelkinder;1;0;0;1;0;0;1;0;0;1
Ensemble;1;0;0;0;0;0;0;0;0;1
Entartung;0;1;1;0;1;0;0;1;0;0
Entbehrung;0;1;1;0;1;1;0;1;0;0
Entfremdung;0;1;1;0;1;1;0;1;0;0
Entführung;0;1;0;0;0;1;0;1;1;0
Enthusiast;1;0;0;1;0;0;1;0;1;0
Entlassung;0;1;1;0;1;1;0;1;1;0
Entrückung;1;0;0;1;0;0;1;0;0;0
Entschlossenheit;1;0;0;0;0;0;0;0;0;1
Entschädigung;1;0;0;0;0;0;0;0;0;1
Enttäuschung;0;1;0;0;1;0;0;1;0;0
Entweihung;0;1;1;0;1;1;0;1;0;0
Entwurf;0;0;0;1;0;0;0;0;0;0
Enzyklopädie;1;0;0;0;0;0;0;0;0;1
Epidemie;0;1;1;1;1;1;0;1;1;0
Epitaph;0;0;0;0;0;0;0;1;0;0
Erbauung;1;0;0;1;0;0;1;0;0;1
Erbe;1;0;0;1;0;0;1;0;1;1
Erdbeben;0;1;1;0;0;1;0;1;1;0
Erdrutsch;0;1;0;0;0;1;0;1;0;0
Erfolg;1;0;0;1;0;0;1;0;0;0
Erfreut;1;0;0;1;0;0;1;0;1;0
Erfüllung;1;0;0;1;0;0;1;0;0;1
Ergebnis;1;0;0;1;0;0;1;0;1;0
Erhaltung;1;0;0;1;0;0;0;0;0;1
Erheiterung;1;0;0;0;0;0;1;0;1;0
Erholung;1;0;0;1;0;0;1;0;0;0
Erhöhung;1;0;0;0;0;0;1;0;0;1
Erklärung;1;0;0;0;0;0;0;0;0;1
Erleuchtung;1;0;0;0;0;0;1;0;1;1
Ermahnung;0;1;0;0;0;1;0;0;0;0
